parent_chembl_id,parent_name,parent_smiles,fragment_smiles,fragment_clean,n_atoms
CHEMBL1294,QUINIDINE,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,[16*]c1ccc2nccc([16*])c2c1,[H]c1ccc2nccc([H])c2c1,10
CHEMBL1294,QUINIDINE,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,[13*][C@H]1C[C@@H]2CCN1C[C@@H]2C=C,[H][C@H]1C[C@@H]2CCN1C[C@@H]2C=C,10
CHEMBL1295,BUTOCONAZOLE,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,[16*]c1c(Cl)cccc1Cl,[H]c1c(Cl)cccc1Cl,8
CHEMBL1295,BUTOCONAZOLE,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,[16*]c1ccc(Cl)cc1,[H]c1ccc(Cl)cc1,7
CHEMBL1295,BUTOCONAZOLE,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,[9*]n1ccnc1,[H]n1ccnc1,5
CHEMBL1295,BUTOCONAZOLE,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,[4*]C(C[8*])CC[8*],[H]C(C[H])CC[H],4
CHEMBL1296,CEFOTIAM,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,[14*]c1csc(N)n1,[H]c1csc(N)n1,6
CHEMBL1296,CEFOTIAM,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,[9*]n1nnnc1[14*],[H]n1nnnc1[H],5
CHEMBL1296,CEFOTIAM,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,[5*]N(C)C,[H]N(C)C,3
CHEMBL1296,CEFOTIAM,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,[4*]CC1=C(C(=O)O)N2C(=O)[C@@H]([15*])[C@H]2SC1,[H]CC1=C(C(=O)O)N2C(=O)[C@@H]([H])[C@H]2SC1,13
CHEMBL1296,CEFOTIAM,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,[1*]C(=O)C[8*],[H]C(=O)C[H],3
CHEMBL1297,FENOPROFEN,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,[8*]C(C)C(=O)O,[H]C(C)C(=O)O,5
CHEMBL1297,FENOPROFEN,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,[16*]c1ccccc1,[H]c1ccccc1,6
CHEMBL1297,FENOPROFEN,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,[16*]c1cccc([16*])c1,[H]c1cccc([H])c1,6
CHEMBL157101,KETOCONAZOLE,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,[1*]C(C)=O,[H]C(C)=O,3
CHEMBL157101,KETOCONAZOLE,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,[16*]c1ccc([16*])cc1,[H]c1ccc([H])cc1,6
CHEMBL157101,KETOCONAZOLE,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,[9*]n1ccnc1,[H]n1ccnc1,5
CHEMBL157101,KETOCONAZOLE,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,[16*]c1ccc(Cl)cc1Cl,[H]c1ccc(Cl)cc1Cl,8
CHEMBL157101,KETOCONAZOLE,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,[13*]C1COC([13*])([13*])O1,[H]C1COC([H])([H])O1,5
CHEMBL157101,KETOCONAZOLE,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,[5*]N1CCN([5*])CC1,[H]N1CCN([H])CC1,6
CHEMBL170,QUININE,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,[16*]c1ccc2nccc([16*])c2c1,[H]c1ccc2nccc([H])c2c1,10
CHEMBL170,QUININE,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,[13*][C@@H]1C[C@@H]2CCN1C[C@@H]2C=C,[H][C@@H]1C[C@@H]2CCN1C[C@@H]2C=C,10
CHEMBL346235,DIAMTHAZOLE DIHYDROCHLORIDE,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1.Cl.Cl,[5*]N(C)C,[H]N(C)C,3
CHEMBL346235,DIAMTHAZOLE DIHYDROCHLORIDE,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1.Cl.Cl,[14*]c1nc2ccc([16*])cc2s1,[H]c1nc2ccc([H])cc2s1,9
CHEMBL1301,HYDROXYSTILBAMIDINE,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1,[16*]c1ccc(C(=N)N)cc1,[H]c1ccc(C(=N)N)cc1,9
CHEMBL1301,HYDROXYSTILBAMIDINE,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1,[16*]c1ccc(C(=N)N)cc1O,[H]c1ccc(C(=N)N)cc1O,10
CHEMBL1303,ROTIGOTINE,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,[14*]c1cccs1,[H]c1cccs1,5
CHEMBL1303,ROTIGOTINE,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,[15*][C@H]1CCc2c(O)cccc2C1,[H][C@H]1CCc2c(O)cccc2C1,11
CHEMBL1303,ROTIGOTINE,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,[4*]CCC,[H]CCC,3
CHEMBL1305,ANTAZOLINE,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,[16*]c1ccccc1,[H]c1ccccc1,6
CHEMBL1305,ANTAZOLINE,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,[4*]CC1=NCCN1,[H]CC1=NCCN1,6
CHEMBL1308,FOMEPIZOLE,Cc1cn[nH]c1,Cc1cn[nH]c1,Cc1cn[nH]c1,6
CHEMBL1311,ISOSORBIDE MONONITRATE,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,[3*]O[N+](=O)[O-],[H]O[N+](=O)[O-],4
CHEMBL1311,ISOSORBIDE MONONITRATE,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,[15*][C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,[H][C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,9
CHEMBL1314,TIOPRONIN,CC(S)C(=O)NCC(=O)O,[1*]C(=O)C(C)S,[H]C(=O)C(C)S,5
CHEMBL1314,TIOPRONIN,CC(S)C(=O)NCC(=O)O,[4*]CC(=O)O,[H]CC(=O)O,4
CHEMBL1316,CARPROFEN,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,[8*]C(C)C(=O)O,[H]C(C)C(=O)O,5
