canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value
CCCCc1ccc(NC(=O)CSc2nnc(-c3ccc(O)cc3)[nH]2)cc1,CHEMBL3808797,IC50,nM,480.0,CHEMBL1667695,IC50,uM,0.48
CCc1ccccc1NC(=O)CSc1nnc(-c2ccc(O)cc2)[nH]1,CHEMBL3809001,IC50,nM,1500.0,CHEMBL1667695,IC50,uM,1.5
Cc1ccccc1NC(=O)CSc1nnc(-c2ccc(O)cc2)[nH]1,CHEMBL3808541,IC50,nM,980.0,CHEMBL1667695,IC50,uM,0.98
O=Cc1coc2ccccc2c1=O,CHEMBL86905,Ki,nM,580.0,CHEMBL1667695,Ki,nM,580.0
Nc1cccc(-c2cc(C(=O)O)nc(C(=O)O)c2)c1,CHEMBL4068259,MIC,ug.mL-1,1.0,CHEMBL1667695,MIC,mg/L,1.0
O=C(O)c1ccc(-c2ccc3ccccc3c2)cc1CS,CHEMBL4073235,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
CCc1ccc(-c2ccc(C(=O)O)c(CS)c2)cc1,CHEMBL4070942,MIC,ug.mL-1,64.0,CHEMBL1667695,MIC,ug ml-1,64.0
CCOc1cccc(-c2ccc(C(=O)O)c(CS)c2)c1,CHEMBL4096976,MIC,ug.mL-1,16.0,CHEMBL1667695,MIC,ug ml-1,16.0
O=C(O)c1ccc(-c2ccco2)cc1CS,CHEMBL4060980,MIC,ug.mL-1,64.0,CHEMBL1667695,MIC,ug ml-1,64.0
O=C(O)c1ccc(-c2ccsc2)cc1CS,CHEMBL4088105,MIC,ug.mL-1,8.0,CHEMBL1667695,MIC,ug ml-1,8.0
O=C(O)c1ccc(Br)cc1CS,CHEMBL4098147,MIC,ug.mL-1,64.0,CHEMBL1667695,MIC,ug ml-1,64.0
O=C(O)c1ccc(-c2ccccc2)cc1CS,CHEMBL4076158,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
O=C(O)c1ccc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1CS,CHEMBL4069021,MIC,ug.mL-1,128.0,CHEMBL1667695,MIC,ug ml-1,128.0
COc1ccc(-c2cn(Cc3cccc(B(O)O)c3)nn2)cc1,CHEMBL4128933,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
OB(O)c1cccc(Cn2cc(-c3ccccc3)nn2)c1,CHEMBL4129606,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
OB(O)c1cccc(Cn2cc(-c3cccnc3)nn2)c1,CHEMBL4128239,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
